Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,WILLOWS LODGE WILLOWS #2,14580 NE 145th St,,Woodinville,WA,98072,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.734211,-122.147041,2024-03-06,38976,2024-03-06 00:39:46 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Rairdon's Nissan - Auburn,713 35th St NE,,Auburn,WA,98002,,,E,,Private,Service center only,,,,,,1,,,Non-Networked,,200-9,47.338754,-122.221114,2024-02-12,39776,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Bellingham Nissan,1516 Iowa St,,Bellingham,WA,98229,,360-733-7300,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,48.75573,-122.45411,2024-02-12,39778,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Advantage Nissan,5101 Auto Center Blvd,,Bremerton,WA,98312,,360-373-6300,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,47.562162,-122.684286,2024-02-12,39779,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Burien Nissan,16042 1st Ave S,,Burien,WA,98148,,206-242-7070,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,47.45832,-122.33325,2024-02-12,39780,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Campbell-Nelson Nissan,24325 Highway 99,,Edmonds,WA,98026,,,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,GPS,47.778229,-122.344838,2024-02-12,39782,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Olympia Nissan,2220 Carriage Dr SW,,Olympia,WA,98502,,360-352-8558,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,47.03101,-122.9298,2024-02-12,39786,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Bill Robertson Nissan,928 N 28th Ave,,Pasco,WA,99301,,509-545-3000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,46.236607,-119.128998,2024-02-12,39787,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Dan Wilder Nissan,53 Jetta Way,,Port Angeles,WA,98362,,360-452-9268,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,48.10274,-123.34307,2024-02-12,39788,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Bill Korum's Puyallup Nissan,101 Valley Ave NW,,Puyallup,WA,98371,,253-848-4507,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,47.20763,-122.29502,2024-02-12,39789,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Younker Nissan,3401 E Valley Rd,,Renton,WA,98058,,,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,47.44822,-122.21915,2024-02-12,39791,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Wendle Nissan,9000 N Division St,,Spokane,WA,99218,,509-468-9000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,47.739021,-117.409937,2024-02-12,39795,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Dave Smith Nissan - Spokane,6901 E Sprague Ave,,Spokane Valley,WA,99212,,509-924-6242,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,47.65722,-117.31236,2024-02-12,39796,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Tacoma Nissan,4030 S Tacoma Way,,Tacoma,WA,98409,,253-473-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,47.21972,-122.48567,2024-02-12,39797,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,,Vancouver,WA,98662,,360-892-9004,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,45.64821,-122.59841,2024-02-12,39798,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,O'Brien Nissan,1395 Dalles Military Rd,,Walla Walla,WA,99362,,509-529-7000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,46.047464,-118.353406,2024-02-12,39799,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,KEY CENTER KEY CENTER 6,601 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616104,-122.19696,2024-03-06,40383,2024-03-06 00:50:24 UTC,,,,2011-05-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,KRC SKYLINE SKYLINE #1,10900 NE 4th St,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.61434,-122.194037,2024-03-06,40384,2024-03-06 00:43:19 UTC,,,,2011-05-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,CITY OF SEATAC CITY HALL 1,4800 S 188th St,,SeaTac,WA,98188,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.434021,-122.273183,2024-03-06,41776,2024-03-06 00:28:34 UTC,,,,2011-12-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Puget Sound Energy,3130 S 38th St,,Tacoma,WA,98409,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,47.22213,-122.478493,2023-09-14,41779,2024-01-31 22:07:01 UTC,T,,,2011-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,City of Tacoma - Municipal Building,747 Market St,Located in staff parking garage,Tacoma,WA,98402,,,E,,Private,Fleet use only,,,,,,2,,,Non-Networked,,200-9,47.255854,-122.44172,2023-08-10,42044,2024-01-31 22:07:01 UTC,LG,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,SAMMAMISH GARAGE 1,801 228th Ave SE,,Sammamish,WA,98075,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.601657,-122.036938,2024-03-06,42240,2024-03-06 00:29:32 UTC,,,,2011-11-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,IBEW LOCAL 46 IBEW LOCAL 46 1,19802 62nd Ave S,,Kent,WA,98032,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.424222,-122.256619,2024-03-06,43299,2024-03-06 00:31:15 UTC,,,,2012-01-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,VALLEY MED CTR MAIN LOT #5,400 S 43rd St,,Renton,WA,98055,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.443255,-122.212445,2024-03-06,43303,2024-03-06 00:14:07 UTC,,,,2012-01-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,City of Renton - City Shops,3555 NE 2nd St,,Renton,WA,98056,,,E,,Private,,,,,,,2,,,Non-Networked,,200-9,47.483635,-122.170748,2023-09-14,43795,2024-01-31 22:07:01 UTC,LG,,,2017-01-12,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,City of Renton - City Hall,1055 S Grady Way,,Renton,WA,98057,,,E,,Private,24 hours daily,,,,,,2,,,Non-Networked,,200-9,47.474537,-122.204976,2023-12-13,43796,2024-01-31 22:07:01 UTC,LG,,,2017-01-12,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false
ELEC,TAC PW PARKING A ST GARAGE 01,110 S 10th St,,Tacoma,WA,98402,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.253809,-122.437429,2024-03-06,43804,2024-03-06 00:32:01 UTC,,,,2012-01-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,TAC PW PARKING GLASS MUSEUM 01,1801 Dock St,,Tacoma,WA,98402,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.245934,-122.43398,2024-03-06,43806,2024-03-06 00:32:01 UTC,,,,2012-01-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Campbell-Nelson Nissan,24325 Highway 99,,Edmonds,WA,98026,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,47.778229,-122.344838,2024-02-12,44136,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Campbell Nissan - Everett,10500 Highway 99 S,,Everett,WA,98204,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,47.90272981640562,-122.2469883724914,2024-02-12,44137,2024-02-12 15:25:05 UTC,P,,,2014-01-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Olympia Nissan,2220 Carriage Dr SW,,Olympia,WA,98502,,360-352-8558,E,,Private,,,,,,,1,,,Non-Networked,,200-8,47.03101,-122.9298,2024-02-12,44147,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Bill Robertson Nissan,928 N 28th Ave,,Pasco,WA,99301,,509-545-3000,E,,Private,,,,,,,1,,,Non-Networked,,200-9,46.236607,-119.128998,2024-02-12,44148,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Bill Korum's Puyallup Nissan,101 Valley Ave NW,,Puyallup,WA,98371,,253-848-4507,E,,Private,,,,,,,1,,,Non-Networked,,200-8,47.20763,-122.29502,2024-02-12,44150,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Younker Nissan,3401 E Valley Rd,,Renton,WA,98058,,,E,,Private,,,,,,,1,,,Non-Networked,,200-8,47.44822,-122.21915,2024-02-12,44151,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,City of Seattle - Central Library,1000 4th Ave,,Seattle,WA,98104,,206-386-4636,E,,Public,24 hours daily,,,,,,3,,,Non-Networked,,200-9,47.606684,-122.332664,2023-01-10,44153,2023-02-14 15:54:11 UTC,LG,,,2011-12-01,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,$2 per session,,,,,,,,,,false,,,,,,,,LD,false
ELEC,City of Seattle - Muni Tower,700 5th Ave,,Seattle,WA,98124,,,E,,Private,,,,,,,32,,,Non-Networked,,200-8,47.604906,-122.330278,2023-01-10,44156,2023-02-14 15:54:11 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,City of Seattle - Parking Enforcement Division,2203 Airport Way S,,Seattle,WA,98134,,,E,,Private,,,,,,,13,,,Non-Networked,,200-9,47.582934,-122.323106,2023-01-10,44158,2023-02-14 15:54:11 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,City of Seattle - Seattle Center,516 Harrison St,Located in the 5th Ave Garage,Seattle,WA,98109,,206-684-7340,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,6,,,Non-Networked,,200-8,47.622085,-122.347124,2023-01-10,44159,2023-02-14 15:54:11 UTC,LG,,,2011-12-01,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,,,,,,Free; parking fee,,,,,,,,,,false,,,,,,,,LD,false
ELEC,City of Seattle - Seattle City Light North Service Center,1300 N 97th St,,Seattle,WA,98103,,,E,,Private,,,,,,,4,,,Non-Networked,,200-8,47.699613,-122.341922,2023-01-10,44160,2023-02-14 15:54:11 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,City of Seattle - Seattle Water Ops,2700 Airport Way S,,Seattle,WA,98134,,,E,,Private,,,,,,,4,,,Non-Networked,,200-8,47.57952,-122.321401,2022-06-14,44162,2023-02-15 22:45:41 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,City of Seattle - West Bridge,4209 W Marginal Way SW,,Seattle,WA,98106,,,E,,Private,,,,,,,2,,,Non-Networked,,200-8,47.565149,-122.353024,2023-01-10,44163,2023-02-14 15:54:11 UTC,LG,,,2011-12-31,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Tacoma Nissan,4030 S Tacoma Way,,Tacoma,WA,98409,,253-473-6200,E,,Private,,,,,,,1,,,Non-Networked,,200-8,47.21972,-122.48567,2024-02-12,44166,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Advantage Nissan,5101 Auto Center Blvd,,Bremerton,WA,98312,,360-373-6300,E,,Private,,,,,,,1,,,Non-Networked,,200-9,47.562162,-122.684286,2024-02-12,44270,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Burien Nissan,16042 1st Ave S,,Burien,WA,98148,,206-242-7070,E,,Private,,,,,,,1,,,Non-Networked,,200-8,47.45832,-122.33325,2024-02-12,44272,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,,Vancouver,WA,98662,,360-892-9004,E,,Private,,,,,,,1,,,Non-Networked,,200-8,45.64821,-122.59841,2024-02-12,44506,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false
ELEC,Valley Nissan,1010 S 1st St,,Yakima,WA,98901,,509-453-3125,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,46.590246,-120.500687,2024-02-12,44509,2024-02-12 15:25:05 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false
ELEC,Valley Nissan,1010 S 1st St,,Yakima,WA,98901,,509-453-3125,E,,Private,,,,,,,1,,,Non-Networked,,200-9,46.590246,-120.500687,2024-02-12,44510,2024-02-12 15:25:05 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Snohomish County - Evergreen Fairgrounds,14405 179th Ave SE,,Monroe,WA,98272,,425-388-6619,E,,Public,8am-5pm M-F,,,,,,2,,,Non-Networked,,200-9,47.868914,-121.987449,2023-08-10,45209,2024-01-31 22:07:01 UTC,LG,,,2012-01-20,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Seattle City Light - Newhalem Parking Lot,500 Newhalem St,,Rockport,WA,98283,,,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-8,48.673466,-121.261467,2023-01-10,45654,2023-02-14 15:54:11 UTC,LG,,,2012-01-01,,,,,J1772,US,,,,Public,,public,,,UTILITY,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,PeaceHealth,1115 SE 164th Ave,,Vancouver,WA,98684,,,E,,Public,Employee and guest use only; non-employee use after hours,,,,,,2,,,Non-Networked,,GPS,45.63017,-122.504,2023-09-14,47885,2024-01-31 22:07:01 UTC,P,,,2012-05-31,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,true,,,,,,,,,true
ELEC,Puget Sound Energy,6500 Ursula Pl S,,Seattle,WA,98108,,,E,,Private,Employee and guest use only,,,,,,1,,,Non-Networked,,GPS,47.54527283,-122.3087234,2023-09-14,48605,2024-01-31 22:07:01 UTC,T,,,2012-06-30,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,true
ELEC,KING COUNTY DES KSC STATION #1,201 S Jackson St,,Seattle,WA,98104,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.598663,-122.331009,2024-03-06,49230,2024-03-06 00:24:10 UTC,,,,2012-07-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,SKAGIT COUNTY ADMIN STATION 2,1800 Continental Pl,,Mount Vernon,WA,98273,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,48.437569,-122.325494,2024-03-06,50210,2024-03-06 00:13:57 UTC,,,,2012-11-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
