state,county,fips_state,fips_county,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed
Alabama,Blount County,1,1009,2000,3190,39,0,
Alabama,Blount County,1,1009,2001,3290,55,0,
Alabama,Blount County,1,1009,2002,3391,78,0,
Alabama,Blount County,1,1009,2003,3491,61,0,
Alabama,Blount County,1,1009,2004,3592,59,0,
Alabama,Blount County,1,1009,2005,3692,70,0,
Alabama,Blount County,1,1009,2006,3792,71,0,
Alabama,Blount County,1,1009,2007,3893,63,0,
Alabama,Blount County,1,1009,2008,3993,49,0,
Alabama,Blount County,1,1009,2009,4094,47,0,
Alabama,Blount County,1,1009,2010,4194,36,0,
Alabama,Blount County,1,1009,2011,4255,58,0,
Alabama,Blount County,1,1009,2012,4316,56,0,
Alabama,Blount County,1,1009,2013,4377,57,0,
Alabama,Blount County,1,1009,2014,4437,86,0,
Alabama,Blount County,1,1009,2015,4498,62,0,
Alabama,Blount County,1,1009,2016,4559,72,0,
Alabama,Blount County,1,1009,2017,4620,66,0,66
Alabama,Bullock County,1,1011,2000,1012,15,0,
Alabama,Bullock County,1,1011,2001,1028,18,0,
Alabama,Bullock County,1,1011,2002,1044,20,0,
Alabama,Bullock County,1,1011,2003,1059,22,0,
Alabama,Bullock County,1,1011,2004,1075,33,0,
Alabama,Bullock County,1,1011,2005,1091,18,0,
Alabama,Bullock County,1,1011,2006,1106,21,0,
Alabama,Bullock County,1,1011,2007,1122,27,0,
Alabama,Bullock County,1,1011,2008,1138,35,0,
Alabama,Bullock County,1,1011,2009,1153,29,0,
Alabama,Bullock County,1,1011,2010,1169,32,0,
Alabama,Bullock County,1,1011,2011,1178,24,0,
Alabama,Bullock County,1,1011,2012,1186,47,0,
Alabama,Bullock County,1,1011,2013,1195,26,0,
Alabama,Bullock County,1,1011,2014,1203,42,0,
Alabama,Bullock County,1,1011,2015,1212,40,0,
Alabama,Bullock County,1,1011,2016,1220,33,0,
Alabama,Bullock County,1,1011,2017,1229,49,0,46
Alabama,Butler County,1,1013,2000,1995,35,0,
Alabama,Butler County,1,1013,2001,2048,47,0,
Alabama,Butler County,1,1013,2002,2101,30,0,
Alabama,Butler County,1,1013,2003,2154,30,0,
Alabama,Butler County,1,1013,2004,2207,39,0,
Alabama,Butler County,1,1013,2005,2260,37,0,
Alabama,Butler County,1,1013,2006,2312,22,0,
Alabama,Butler County,1,1013,2007,2365,38,0,
Alabama,Butler County,1,1013,2008,2418,24,0,
Alabama,Butler County,1,1013,2009,2471,43,0,
Alabama,Butler County,1,1013,2010,2524,39,0,
Alabama,Butler County,1,1013,2011,2558,44,0,
Alabama,Butler County,1,1013,2012,2591,36,0,
Alabama,Butler County,1,1013,2013,2625,47,0,
Alabama,Butler County,1,1013,2014,2658,53,0,
Alabama,Butler County,1,1013,2015,2692,60,0,
Alabama,Butler County,1,1013,2016,2725,56,0,
Alabama,Butler County,1,1013,2017,2759,30,0,
Alabama,Calhoun County,1,1015,2000,12451,396,0,
Alabama,Calhoun County,1,1015,2001,12684,411,0,
Alabama,Calhoun County,1,1015,2002,12917,500,0,
Alabama,Calhoun County,1,1015,2003,13149,522,0,
Alabama,Calhoun County,1,1015,2004,13382,472,0,
Alabama,Calhoun County,1,1015,2005,13615,464,0,
Alabama,Calhoun County,1,1015,2006,13848,447,0,
Alabama,Calhoun County,1,1015,2007,14081,473,0,
Alabama,Calhoun County,1,1015,2008,14313,499,0,
Alabama,Calhoun County,1,1015,2009,14546,473,0,
Alabama,Calhoun County,1,1015,2010,14779,526,0,
Alabama,Calhoun County,1,1015,2011,14861,493,0,
Alabama,Calhoun County,1,1015,2012,14942,522,0,
Alabama,Calhoun County,1,1015,2013,15024,490,0,
Alabama,Calhoun County,1,1015,2014,15105,497,0,
Alabama,Calhoun County,1,1015,2015,15187,561,0,
Alabama,Calhoun County,1,1015,2016,15268,525,0,
Alabama,Calhoun County,1,1015,2017,15350,574,0,
Alabama,Chambers County,1,1017,2000,3528,72,0,
Alabama,Chambers County,1,1017,2001,3584,93,0,
Alabama,Chambers County,1,1017,2002,3640,99,0,
Alabama,Chambers County,1,1017,2003,3697,78,0,
Alabama,Chambers County,1,1017,2004,3753,62,0,
Alabama,Chambers County,1,1017,2005,3809,73,0,
Alabama,Chambers County,1,1017,2006,3865,63,0,
Alabama,Chambers County,1,1017,2007,3921,94,0,
Alabama,Chambers County,1,1017,2008,3978,90,0,
Alabama,Chambers County,1,1017,2009,4034,55,0,
Alabama,Chambers County,1,1017,2010,4090,74,0,
Alabama,Chambers County,1,1017,2011,4139,94,0,
Alabama,Chambers County,1,1017,2012,4188,167,0,
Alabama,Chambers County,1,1017,2013,4237,136,0,
Alabama,Chambers County,1,1017,2014,4286,150,0,
Alabama,Chambers County,1,1017,2015,4335,173,0,
Alabama,Chambers County,1,1017,2016,4384,180,0,
Alabama,Chambers County,1,1017,2017,4433,156,0,
Alabama,Cherokee County,1,1019,2000,1775,45,0,
Alabama,Cherokee County,1,1019,2001,1826,36,0,
Alabama,Cherokee County,1,1019,2002,1876,28,0,
Alabama,Cherokee County,1,1019,2003,1927,37,0,
Alabama,Cherokee County,1,1019,2004,1977,51,0,
Alabama,Cherokee County,1,1019,2005,2028,30,0,
Alabama,Cherokee County,1,1019,2006,2079,31,0,
Alabama,Cherokee County,1,1019,2007,2129,33,0,
Alabama,Cherokee County,1,1019,2008,2180,39,0,
Alabama,Cherokee County,1,1019,2009,2230,27,0,
Alabama,Cherokee County,1,1019,2010,2281,31,0,
Alabama,Cherokee County,1,1019,2011,2308,37,0,
Alabama,Cherokee County,1,1019,2012,2336,38,0,
Alabama,Cherokee County,1,1019,2013,2363,39,0,
Alabama,Cherokee County,1,1019,2014,2390,44,0,
Alabama,Cherokee County,1,1019,2015,2418,38,0,
Alabama,Cherokee County,1,1019,2016,2445,37,0,
Alabama,Cherokee County,1,1019,2017,2472,47,0,47
Alabama,Chilton County,1,1021,2000,2711,43,0,
Alabama,Chilton County,1,1021,2001,2828,61,0,
Alabama,Chilton County,1,1021,2002,2945,58,0,
Alabama,Chilton County,1,1021,2003,3062,67,0,
Alabama,Chilton County,1,1021,2004,3179,84,0,
Alabama,Chilton County,1,1021,2005,3296,67,0,
Alabama,Chilton County,1,1021,2006,3412,83,0,
Alabama,Chilton County,1,1021,2007,3529,71,0,
Alabama,Chilton County,1,1021,2008,3646,39,0,
Alabama,Chilton County,1,1021,2009,3763,78,0,
Alabama,Chilton County,1,1021,2010,3880,91,0,
Alabama,Chilton County,1,1021,2011,3941,86,0,
Alabama,Chilton County,1,1021,2012,4002,85,0,
Alabama,Chilton County,1,1021,2013,4063,92,0,
Alabama,Chilton County,1,1021,2014,4124,96,0,
Alabama,Chilton County,1,1021,2015,4185,108,0,
Alabama,Chilton County,1,1021,2016,4246,124,0,
Alabama,Chilton County,1,1021,2017,4307,114,0,114
Alabama,Choctaw County,1,1023,2000,872,11,0,
Alabama,Choctaw County,1,1023,2001,885,14,0,
Alabama,Choctaw County,1,1023,2002,898,13,0,
Alabama,Choctaw County,1,1023,2003,910,9,0,
Alabama,Choctaw County,1,1023,2004,923,11,0,
Alabama,Choctaw County,1,1023,2005,936,6,0,
Alabama,Choctaw County,1,1023,2006,949,5,0,
Alabama,Choctaw County,1,1023,2007,962,13,0,
Alabama,Choctaw County,1,1023,2008,974,8,0,
Alabama,Choctaw County,1,1023,2009,987,9,0,
Alabama,Choctaw County,1,1023,2010,1000,7,0,
Alabama,Choctaw County,1,1023,2011,1009,8,0,
Alabama,Choctaw County,1,1023,2012,1018,16,0,
Alabama,Choctaw County,1,1023,2013,1027,15,0,
Alabama,Choctaw County,1,1023,2014,1035,21,0,
Alabama,Choctaw County,1,1023,2015,1044,14,0,
Alabama,Choctaw County,1,1023,2016,1053,11,0,
Alabama,Choctaw County,1,1023,2017,1062,10,0,10
Alabama,Clarke County,1,1025,2000,1991,29,0,
Alabama,Clarke County,1,1025,2001,2026,35,0,
Alabama,Clarke County,1,1025,2002,2061,39,0,
Alabama,Clarke County,1,1025,2003,2096,23,0,
Alabama,Clarke County,1,1025,2004,2131,29,0,
Alabama,Clarke County,1,1025,2005,2166,43,0,
Alabama,Clarke County,1,1025,2006,2201,48,0,
Alabama,Clarke County,1,1025,2007,2236,57,0,
Alabama,Clarke County,1,1025,2008,2271,48,0,
Alabama,Clarke County,1,1025,2009,2306,44,0,
Alabama,Clarke County,1,1025,2010,2341,40,0,
Alabama,Clarke County,1,1025,2011,2373,29,0,
Alabama,Clarke County,1,1025,2012,2404,37,0,
Alabama,Clarke County,1,1025,2013,2436,39,0,
Alabama,Clarke County,1,1025,2014,2468,29,0,
Alabama,Clarke County,1,1025,2015,2499,33,0,
Alabama,Clarke County,1,1025,2016,2531,43,0,
Alabama,Clarke County,1,1025,2017,2563,50,0,50
Alabama,Clay County,1,1027,2000,1313,16,0,
Alabama,Clay County,1,1027,2001,1322,5,0,
Alabama,Clay County,1,1027,2002,1331,3,0,
Alabama,Clay County,1,1027,2003,1340,9,0,
Alabama,Clay County,1,1027,2004,1349,6,0,
Alabama,Clay County,1,1027,2005,1359,5,0,
Alabama,Clay County,1,1027,2006,1368,9,0,
Alabama,Clay County,1,1027,2007,1377,13,0,
Alabama,Clay County,1,1027,2008,1386,12,0,
Alabama,Clay County,1,1027,2009,1395,10,0,
Alabama,Clay County,1,1027,2010,1404,18,0,
Alabama,Clay County,1,1027,2011,1417,19,0,
Alabama,Clay County,1,1027,2012,1429,4,0,
Alabama,Clay County,1,1027,2013,1442,13,0,
Alabama,Clay County,1,1027,2014,1455,21,0,
Alabama,Clay County,1,1027,2015,1467,13,0,
Alabama,Clay County,1,1027,2016,1480,18,0,
Alabama,Clay County,1,1027,2017,1493,29,0,
Alabama,Cleburne County,1,1029,2000,1096,11,0,
Alabama,Cleburne County,1,1029,2001,1119,23,0,
Alabama,Cleburne County,1,1029,2002,1143,27,0,
Alabama,Cleburne County,1,1029,2003,1166,32,0,
Alabama,Cleburne County,1,1029,2004,1189,23,0,
Alabama,Cleburne County,1,1029,2005,1213,30,0,
Alabama,Cleburne County,1,1029,2006,1236,15,0,
Alabama,Cleburne County,1,1029,2007,1259,17,0,
Alabama,Cleburne County,1,1029,2008,1282,26,0,
Alabama,Cleburne County,1,1029,2009,1306,17,0,
Alabama,Cleburne County,1,1029,2010,1329,22,0,
Alabama,Cleburne County,1,1029,2011,1348,15,0,
Alabama,Cleburne County,1,1029,2012,1367,20,0,
Alabama,Cleburne County,1,1029,2013,1386,20,0,
Alabama,Cleburne County,1,1029,2014,1405,24,0,
Alabama,Cleburne County,1,1029,2015,1424,32,0,
Alabama,Cleburne County,1,1029,2016,1443,22,0,
Alabama,Cleburne County,1,1029,2017,1462,21,0,21
Alabama,Coffee County,1,1031,2000,4981,61,0,
Alabama,Coffee County,1,1031,2001,5128,92,0,
Alabama,Coffee County,1,1031,2002,5276,101,0,
Alabama,Coffee County,1,1031,2003,5423,112,0,
Alabama,Coffee County,1,1031,2004,5571,82,0,
Alabama,Coffee County,1,1031,2005,5718,95,0,
Alabama,Coffee County,1,1031,2006,5865,115,0,
Alabama,Coffee County,1,1031,2007,6013,125,0,
Alabama,Coffee County,1,1031,2008,6160,123,0,
Alabama,Coffee County,1,1031,2009,6308,117,0,
Alabama,Coffee County,1,1031,2010,6455,130,0,
Alabama,Coffee County,1,1031,2011,6552,175,0,
Alabama,Coffee County,1,1031,2012,6649,123,0,
Alabama,Coffee County,1,1031,2013,6746,171,0,
Alabama,Coffee County,1,1031,2014,6842,175,0,
Alabama,Coffee County,1,1031,2015,6939,164,0,
Alabama,Coffee County,1,1031,2016,7036,221,0,
Alabama,Coffee County,1,1031,2017,7133,191,0,191
Alabama,Colbert County,1,1033,2000,5454,110,0,
Alabama,Colbert County,1,1033,2001,5529,115,0,
Alabama,Colbert County,1,1033,2002,5603,81,0,
Alabama,Colbert County,1,1033,2003,5678,111,0,
Alabama,Colbert County,1,1033,2004,5752,108,0,
Alabama,Colbert County,1,1033,2005,5827,112,0,
Alabama,Colbert County,1,1033,2006,5902,136,0,
Alabama,Colbert County,1,1033,2007,5976,119,0,
Alabama,Colbert County,1,1033,2008,6051,132,0,
Alabama,Colbert County,1,1033,2009,6125,111,0,
Alabama,Colbert County,1,1033,2010,6200,114,0,
Alabama,Colbert County,1,1033,2011,6281,139,0,
Alabama,Colbert County,1,1033,2012,6361,167,0,
Alabama,Colbert County,1,1033,2013,6442,141,0,
Alabama,Colbert County,1,1033,2014,6523,146,0,
Alabama,Colbert County,1,1033,2015,6603,149,0,
Alabama,Colbert County,1,1033,2016,6684,183,0,
Alabama,Colbert County,1,1033,2017,6765,170,0,
Alabama,Conecuh County,1,1035,2000,1102,4,0,
Alabama,Conecuh County,1,1035,2001,1131,13,0,
Alabama,Conecuh County,1,1035,2002,1159,13,0,
Alabama,Conecuh County,1,1035,2003,1188,10,0,
Alabama,Conecuh County,1,1035,2004,1216,15,0,
Alabama,Conecuh County,1,1035,2005,1245,18,0,
Alabama,Conecuh County,1,1035,2006,1273,21,0,
Alabama,Conecuh County,1,1035,2007,1302,13,0,
Alabama,Conecuh County,1,1035,2008,1330,17,0,
Alabama,Conecuh County,1,1035,2009,1359,10,0,
Alabama,Conecuh County,1,1035,2010,1387,18,0,
Alabama,Conecuh County,1,1035,2011,1395,11,0,
Alabama,Conecuh County,1,1035,2012,1403,18,0,
Alabama,Conecuh County,1,1035,2013,1412,22,0,
Alabama,Conecuh County,1,1035,2014,1420,19,0,
Alabama,Conecuh County,1,1035,2015,1428,23,0,
Alabama,Conecuh County,1,1035,2016,1436,33,0,
Alabama,Conecuh County,1,1035,2017,1444,21,0,21
Alabama,Coosa County,1,1037,2000,712,8,0,
Alabama,Coosa County,1,1037,2001,736,10,0,
Alabama,Coosa County,1,1037,2002,759,5,0,
Alabama,Coosa County,1,1037,2003,783,7,0,
Alabama,Coosa County,1,1037,2004,806,4,0,
Alabama,Coosa County,1,1037,2005,830,4,0,
Alabama,Coosa County,1,1037,2006,854,8,0,
Alabama,Coosa County,1,1037,2007,877,8,0,
Alabama,Coosa County,1,1037,2008,901,15,0,
Alabama,Coosa County,1,1037,2009,924,3,0,
Alabama,Coosa County,1,1037,2010,948,14,0,
Alabama,Coosa County,1,1037,2011,954,11,0,
Alabama,Coosa County,1,1037,2012,960,6,0,
Alabama,Coosa County,1,1037,2013,966,12,0,
Alabama,Coosa County,1,1037,2014,972,16,0,
Alabama,Coosa County,1,1037,2015,978,20,0,
Alabama,Coosa County,1,1037,2016,984,22,0,
Alabama,Coosa County,1,1037,2017,990,16,0,16
Alabama,Covington County,1,1039,2000,3485,50,0,
Alabama,Covington County,1,1039,2001,3542,55,0,
Alabama,Covington County,1,1039,2002,3598,64,0,
Alabama,Covington County,1,1039,2003,3655,69,0,
Alabama,Covington County,1,1039,2004,3711,72,0,
Alabama,Covington County,1,1039,2005,3768,86,0,
Alabama,Covington County,1,1039,2006,3825,69,0,
Alabama,Covington County,1,1039,2007,3881,74,0,
Alabama,Covington County,1,1039,2008,3938,59,0,
Alabama,Covington County,1,1039,2009,3994,67,0,
Alabama,Covington County,1,1039,2010,4051,58,0,
Alabama,Covington County,1,1039,2011,4113,92,0,
Alabama,Covington County,1,1039,2012,4174,97,0,
Alabama,Covington County,1,1039,2013,4236,81,0,
Alabama,Covington County,1,1039,2014,4298,104,0,
Alabama,Covington County,1,1039,2015,4359,128,0,
Alabama,Covington County,1,1039,2016,4421,114,0,
Alabama,Covington County,1,1039,2017,4483,117,0,117
Alabama,Crenshaw County,1,1041,2000,1300,8,0,
Alabama,Crenshaw County,1,1041,2001,1321,8,0,
Alabama,Crenshaw County,1,1041,2002,1342,13,0,
Alabama,Crenshaw County,1,1041,2003,1363,12,0,
Alabama,Crenshaw County,1,1041,2004,1384,5,0,
Alabama,Crenshaw County,1,1041,2005,1406,10,0,
Alabama,Crenshaw County,1,1041,2006,1427,4,0,
Alabama,Crenshaw County,1,1041,2007,1448,17,0,
Alabama,Crenshaw County,1,1041,2008,1469,13,0,
Alabama,Crenshaw County,1,1041,2009,1490,12,0,
Alabama,Crenshaw County,1,1041,2010,1511,12,0,
Alabama,Crenshaw County,1,1041,2011,1534,15,0,
Alabama,Crenshaw County,1,1041,2012,1557,14,0,
Alabama,Crenshaw County,1,1041,2013,1580,17,0,
Alabama,Crenshaw County,1,1041,2014,1602,24,0,
Alabama,Crenshaw County,1,1041,2015,1625,34,0,
Alabama,Crenshaw County,1,1041,2016,1648,23,0,
Alabama,Crenshaw County,1,1041,2017,1671,25,0,25
Alabama,Cullman County,1,1043,2000,6744,129,0,
Alabama,Cullman County,1,1043,2001,6867,158,0,
Alabama,Cullman County,1,1043,2002,6989,145,0,
Alabama,Cullman County,1,1043,2003,7112,141,0,
Alabama,Cullman County,1,1043,2004,7234,130,0,
Alabama,Cullman County,1,1043,2005,7357,142,0,
Alabama,Cullman County,1,1043,2006,7480,116,0,
Alabama,Cullman County,1,1043,2007,7602,109,0,
Alabama,Cullman County,1,1043,2008,7725,125,0,
Alabama,Cullman County,1,1043,2009,7847,108,0,
Alabama,Cullman County,1,1043,2010,7970,121,0,
Alabama,Cullman County,1,1043,2011,8085,134,0,
Alabama,Cullman County,1,1043,2012,8199,138,0,
Alabama,Cullman County,1,1043,2013,8314,168,0,
Alabama,Cullman County,1,1043,2014,8429,149,0,
Alabama,Cullman County,1,1043,2015,8543,185,0,
Alabama,Cullman County,1,1043,2016,8658,178,0,
Alabama,Cullman County,1,1043,2017,8773,162,0,
Alabama,Dale County,1,1045,2000,6738,69,0,
Alabama,Dale County,1,1045,2001,6836,84,0,
Alabama,Dale County,1,1045,2002,6934,102,0,
Alabama,Dale County,1,1045,2003,7031,97,0,
Alabama,Dale County,1,1045,2004,7129,124,0,
Alabama,Dale County,1,1045,2005,7227,151,0,
Alabama,Dale County,1,1045,2006,7325,119,0,
Alabama,Dale County,1,1045,2007,7423,146,0,
Alabama,Dale County,1,1045,2008,7520,130,0,
Alabama,Dale County,1,1045,2009,7618,125,0,
Alabama,Dale County,1,1045,2010,7716,130,0,
Alabama,Dale County,1,1045,2011,7756,150,0,
Alabama,Dale County,1,1045,2012,7795,135,0,
Alabama,Dale County,1,1045,2013,7835,141,0,
Alabama,Dale County,1,1045,2014,7875,140,0,
Alabama,Dale County,1,1045,2015,7914,143,0,
Alabama,Dale County,1,1045,2016,7954,183,0,
Alabama,Dale County,1,1045,2017,7994,167,0,163
Alabama,Dallas County,1,1047,2000,6117,92,0,
Alabama,Dallas County,1,1047,2001,6146,112,0,
Alabama,Dallas County,1,1047,2002,6176,108,0,
Alabama,Dallas County,1,1047,2003,6205,120,0,
Alabama,Dallas County,1,1047,2004,6235,99,0,
Alabama,Dallas County,1,1047,2005,6264,140,0,
Alabama,Dallas County,1,1047,2006,6293,117,0,
Alabama,Dallas County,1,1047,2007,6323,138,0,
Alabama,Dallas County,1,1047,2008,6352,176,0,
Alabama,Dallas County,1,1047,2009,6382,139,0,
Alabama,Dallas County,1,1047,2010,6411,171,0,
Alabama,Dallas County,1,1047,2011,6425,185,0,
Alabama,Dallas County,1,1047,2012,6439,165,0,
Alabama,Dallas County,1,1047,2013,6453,131,0,
Alabama,Dallas County,1,1047,2014,6466,164,0,
Alabama,Dallas County,1,1047,2015,6480,171,0,
Alabama,Dallas County,1,1047,2016,6494,178,0,
Alabama,Dallas County,1,1047,2017,6508,162,0,157
Alabama,DeKalb County,1,1049,2000,5346,78,0,
Alabama,DeKalb County,1,1049,2001,5477,73,0,
Alabama,DeKalb County,1,1049,2002,5608,85,0,
Alabama,DeKalb County,1,1049,2003,5740,74,0,
Alabama,DeKalb County,1,1049,2004,5871,85,0,
Alabama,DeKalb County,1,1049,2005,6002,68,0,
Alabama,DeKalb County,1,1049,2006,6133,90,0,
Alabama,DeKalb County,1,1049,2007,6264,78,0,
Alabama,DeKalb County,1,1049,2008,6396,92,0,
Alabama,DeKalb County,1,1049,2009,6527,83,0,
Alabama,DeKalb County,1,1049,2010,6658,84,0,
Alabama,DeKalb County,1,1049,2011,6728,86,0,
Alabama,DeKalb County,1,1049,2012,6798,89,0,
Alabama,DeKalb County,1,1049,2013,6869,79,0,
Alabama,DeKalb County,1,1049,2014,6939,113,0,
Alabama,DeKalb County,1,1049,2015,7009,106,0,
Alabama,DeKalb County,1,1049,2016,7079,140,0,
Alabama,DeKalb County,1,1049,2017,7149,133,0,
Alabama,Elmore County,1,1051,2000,4244,126,0,
Alabama,Elmore County,1,1051,2001,4461,154,0,
Alabama,Elmore County,1,1051,2002,4679,138,0,
Alabama,Elmore County,1,1051,2003,4896,155,0,
Alabama,Elmore County,1,1051,2004,5114,135,0,
Alabama,Elmore County,1,1051,2005,5331,141,0,
Alabama,Elmore County,1,1051,2006,5549,148,0,
Alabama,Elmore County,1,1051,2007,5766,157,0,
Alabama,Elmore County,1,1051,2008,5984,181,0,
Alabama,Elmore County,1,1051,2009,6201,170,0,
Alabama,Elmore County,1,1051,2010,6419,125,0,
Alabama,Elmore County,1,1051,2011,6528,150,0,
Alabama,Elmore County,1,1051,2012,6637,216,0,
Alabama,Elmore County,1,1051,2013,6746,227,0,
Alabama,Elmore County,1,1051,2014,6854,243,0,
Alabama,Elmore County,1,1051,2015,6963,219,0,
Alabama,Elmore County,1,1051,2016,7072,226,0,
Alabama,Elmore County,1,1051,2017,7181,236,0,227
Alabama,Escambia County,1,1053,2000,3275,50,0,
Alabama,Escambia County,1,1053,2001,3335,54,0,
Alabama,Escambia County,1,1053,2002,3394,48,0,
Alabama,Escambia County,1,1053,2003,3454,56,0,
Alabama,Escambia County,1,1053,2004,3514,56,0,
Alabama,Escambia County,1,1053,2005,3574,96,0,
Alabama,Escambia County,1,1053,2006,3633,73,0,
Alabama,Escambia County,1,1053,2007,3693,101,0,
Alabama,Escambia County,1,1053,2008,3753,82,0,
Alabama,Escambia County,1,1053,2009,3812,83,0,
Alabama,Escambia County,1,1053,2010,3872,76,0,
Alabama,Escambia County,1,1053,2011,3919,112,0,
Alabama,Escambia County,1,1053,2012,3966,66,0,
Alabama,Escambia County,1,1053,2013,4014,75,0,
Alabama,Escambia County,1,1053,2014,4061,75,0,
Alabama,Escambia County,1,1053,2015,4108,82,0,
Alabama,Escambia County,1,1053,2016,4155,95,0,
Alabama,Escambia County,1,1053,2017,4202,98,0,
Alabama,Etowah County,1,1055,2000,10655,419,0,
Alabama,Etowah County,1,1055,2001,10758,477,0,
Alabama,Etowah County,1,1055,2002,10862,482,0,
Alabama,Etowah County,1,1055,2003,10965,496,0,
Alabama,Etowah County,1,1055,2004,11068,513,0,
Alabama,Etowah County,1,1055,2005,11172,540,0,
Alabama,Etowah County,1,1055,2006,11275,559,0,
Alabama,Etowah County,1,1055,2007,11378,576,0,
Alabama,Etowah County,1,1055,2008,11481,643,0,
Alabama,Etowah County,1,1055,2009,11585,448,0,
Alabama,Etowah County,1,1055,2010,11688,571,0,
Alabama,Etowah County,1,1055,2011,11788,616,0,
Alabama,Etowah County,1,1055,2012,11887,575,0,
Alabama,Etowah County,1,1055,2013,11987,628,0,
Alabama,Etowah County,1,1055,2014,12087,677,0,
Alabama,Etowah County,1,1055,2015,12186,649,0,
Alabama,Etowah County,1,1055,2016,12286,660,0,
Alabama,Etowah County,1,1055,2017,12386,609,0,564
Alabama,Fayette County,1,1057,2000,1699,18,0,
Alabama,Fayette County,1,1057,2001,1712,16,0,
Alabama,Fayette County,1,1057,2002,1725,17,0,
Alabama,Fayette County,1,1057,2003,1738,22,0,
Alabama,Fayette County,1,1057,2004,1751,13,0,
Alabama,Fayette County,1,1057,2005,1764,16,0,
Alabama,Fayette County,1,1057,2006,1777,16,0,
Alabama,Fayette County,1,1057,2007,1790,23,0,
