neighborhood,title,price,beds_sqft,pid,longitude,date,subregion,link,latitude
 (inner richmond),***OPEN SAT 9/21 12:00pm-2:00pm*** ,$2200,   / 2br - 700ft² -    ,4076851460,-122.4614,Sep 18 2013,SF,/sfc/apa/4076851460.html,37.7812
 (mission district),"GORGEOUS BRAND NEW HIGH-END CONDOS COMING SOON!DECKS,PATIOS,PARKG,W&D",$3695,   / 1br -    ,4076843126,,Sep 18 2013,SF,/sfc/apa/4076843126.html,
 (bayview),New remodeled 3 BR/3 BA plus office single family house ,$3000,   / 3br - 1476ft² -    ,4072178511,-122.391171,Sep 18 2013,SF,/sfc/apa/4072178511.html,37.719829
 (SOMA / south beach),Furnished Bright Condo with Incredible Views - RelISTO ,$4500,   / 1br - 900ft² -    ,4052254551,,Sep 18 2013,SF,/sfc/apa/4052254551.html,
 (richmond / seacliff),CliffHouse Ocean View 3BR/2BA 2 Indoor Parking Available 1st of OCT. ,$3600,   / 3br - 1450ft² -    ,4059907648,-122.511295,Sep 18 2013,SF,/sfc/apa/4059907648.html,37.775076
 (tenderloin),ALL UTILTIIES INCLUDED!!Sunny and spacious studio steps fm polk Gultch,$1625,      ,4076752401,,Sep 18 2013,SF,/sfc/apa/4076752401.html,
 (SOMA / south beach),Open House 9/21 @2pm! Bright Urban Live /Work,$3695,   / 1br - 1000ft² -    ,4076724706,,Sep 18 2013,SF,/sfc/apa/4076724706.html,
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment Walking Distance to Whole Foods Market,$5200,   / 3br - 1500ft² -    ,4076809356,-122.456145,Sep 18 2013,SF,/sfc/apa/4076809356.html,37.722762
 (lower pac hts),Large Jr. One Bedroom $2395.00,$2395,   / 1br - 575ft² -    ,4076816644,-122.426768,Sep 18 2013,SF,/sfc/apa/4076816644.html,37.787403
 (richmond / seacliff),New remod.top flat on 22nd Ave.,$3800,   / 4br -    ,4076816059,-122.481187,Sep 18 2013,SF,/sfc/apa/4076816059.html,37.775611
 (lower nob hill),ALL UTILITIES INCLUDED!!Sunny and Spacious STEPS from DT!Not TL,$1995,      ,4076670538,-122.412105,Sep 18 2013,SF,/sfc/apa/4076670538.html,37.786865
 (alamo square / nopa),HURRY!!!Sunny and Spacious studio STEPS from Alamo SQ Park!,$2175,      ,4076732050,-122.25,Sep 18 2013,SF,/sfc/apa/4076732050.html,37.5
 (financial district),Golden Gateway Commons | 2BR + office townhouse & 4 decks!!,$5500,   / 2br - 1450ft² -    ,4036170429,,Sep 18 2013,SF,/sfc/apa/4036170429.html,
 (marina / cow hollow),Beautiful Studio in the Marina,$2350,      ,4076767117,-122.44527,Sep 18 2013,SF,/sfc/apa/4076767117.html,37.803493
 (SOMA / south beach),Huge Loft - Office - Den - Sun Room - Roof - ReLISTO,$6000,   / 1br - 1600ft² -    ,4076759063,,Sep 18 2013,SF,/sfc/apa/4076759063.html,
 (potrero hill),Open House 9/21 @ 1pm -Luxurious Penthouse - Now Available - ReLISTO ,$11495,   / 3br -    ,4072013382,,Sep 18 2013,SF,/sfc/apa/4072013382.html,
 (lower pac hts),I WANT TO LIVE HERE!!Stunning 2BR/2BTH with Laundry!WALK TO FILLMORE,$3900,   / 2br -    ,4076664875,,Sep 18 2013,SF,/sfc/apa/4076664875.html,
 (lower pac hts),LIVE STEPS FROM FILLMORE STREET!Fitness Ctr and BBQ!,$4795,   / 2br -    ,4076735477,,Sep 18 2013,SF,/sfc/apa/4076735477.html,
,Ocean View Home 3br+familyroom w/ 2 decks! Close to UCSF and Mt. Sutro,$4995,   / 3br -    ,4076782225,-122.459616,Sep 18 2013,SF,/sfc/apa/4076782225.html,37.756145
 (potrero hill),Open House!Live OnTop of Potrero - HotTub/Views/Pool - ReLISTO ,$11495,   / 3br -    ,4072022069,,Sep 18 2013,SF,/sfc/apa/4072022069.html,
 (richmond / seacliff),Cute & Cozy One Bedroom Garden in-law,$1250,   / 1br - 300ft² -    ,4076775017,,Sep 18 2013,SF,/sfc/apa/4076775017.html,
 (laurel hts / presidio),4 Bedroom in an AWESOME location in the Park,$4195,   / 4br - 1390ft² -    ,4075860449,-122.456639,Sep 18 2013,SF,/sfc/apa/4075860449.html,37.795237
 (downtown / civic / van ness),"One Bedroom Apartment Downtown, Pet Friendly! #402",$1745,   / 1br -    ,4075809702,-122.412827,Sep 18 2013,SF,/sfc/apa/4075809702.html,37.785087
 (Candlestick Point),Bright Spacious Condo w/ 2 Deeded Parking,$2395,   / 2br - 1337ft² -    ,4046069088,-122.389669,Sep 18 2013,SF,/sfc/apa/4046069088.html,37.711105
 (downtown / civic / van ness),HURRY..FOX PLAZA SPECIAL~1/2 DEPOSIT~GORGEOUS SF VIEWS!!!!,$1999,      ,4075853919,-122.417402,Sep 18 2013,SF,/sfc/apa/4075853919.html,37.776619
 (lower nob hill),I WANT THIS APARTMENT!!BRAND NEW RENOVATION!!Trendy neighborhood,$2195,      ,4075750309,-122.413425,Sep 18 2013,SF,/sfc/apa/4075750309.html,37.788018
 (nob hill),3 BR Charming Spacious Nob Hill Apartment,$6900,   / 3br -    ,4026383635,-122.446974,Sep 18 2013,SF,/sfc/apa/4026383635.html,37.788186
 (lower pac hts),8th Floor Corner 2/2 Open Bright Spacious Floorplan Priv. Balcony Pets,$3900,   / 2br - 1200ft² -    ,4075813472,-122.424858,Sep 18 2013,SF,/sfc/apa/4075813472.html,37.786196
 (laurel hts / presidio),ADA Accessible 2 Bedroom Home Available for Move In,$2850,   / 2br - 1010ft² -    ,4075839829,-122.481133,Sep 18 2013,SF,/sfc/apa/4075839829.html,37.790472
 (downtown / civic / van ness),CITY LIVING FURNISHED 1 BED 1 BATH! PARKING! ROOF DECK! HARDWOOD!,$3000,   / 1br -    ,4065372764,,Sep 18 2013,SF,/sfc/apa/4065372764.html,
 (russian hill)," RUSSIAN HILL LUXURY CONDO! 3 BED 3 BATH! PKG! DAWN CUSULOS, AMSI",$7950,   / 3br -    ,4067923709,-122.413074,Sep 18 2013,SF,/sfc/apa/4067923709.html,37.797125
 (potrero hill),Bright Spacious Garden Home with Views! - ReLISTO ,$4500,   / 2br -    ,4050726735,,Sep 18 2013,SF,/sfc/apa/4050726735.html,
 (SOMA / south beach),Park Terrace: 325 Berry St. #614,$3350,   / 1br - 680ft² -    ,4075728049,,Sep 18 2013,SF,/sfc/apa/4075728049.html,
 (hayes valley),HAYES VALLEY FABULOUS FURNISHED 2 BED 2 BATH CONDO! AMAZING SPACE! PKG!,$4500,   / 2br -    ,4056333413,,Sep 18 2013,SF,/sfc/apa/4056333413.html,
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment Walking Distance to Whole Foods Market,$5200,   / 3br - 1500ft² -    ,4068140340,-122.456145,Sep 18 2013,SF,/sfc/apa/4068140340.html,37.722762
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment  Walking Distance to Whole Foods Market,$5200,   / 3br - 1500ft² -    ,4069527772,-122.456145,Sep 18 2013,SF,/sfc/apa/4069527772.html,37.722762
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment within Walking Distance to Whole Foods Mark,$5200,   / 3br - 1500ft² -    ,4075833130,-122.456145,Sep 18 2013,SF,/sfc/apa/4075833130.html,37.722762
 (downtown / civic / van ness),Rent NOW! Stainless Steel and In Unit Washer/Dryer!  Brand NEW! NEMA,$2506,   / 476ft² -    ,4075650703,-122.417182,Sep 18 2013,SF,/sfc/apa/4075650703.html,37.776287
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment  Walking Distance to Whole Foods Market,$5200,   / 3br - 1500ft² -    ,4070330851,-122.456145,Sep 18 2013,SF,/sfc/apa/4070330851.html,37.722762
 (north beach / telegraph hill),"1 Avail. Top Floor, lots of sun light with Courtyard Setting Only 1 ",$4500,   / 2br - 930ft² -    ,4075828081,-122.41033,Sep 18 2013,SF,/sfc/apa/4075828081.html,37.806123
 (SOMA / south beach),Portside Jr One Bedroom ,$2500,   / 1br - 550ft² -    ,4058978510,,Sep 18 2013,SF,/sfc/apa/4058978510.html,
 (inner sunset / UCSF),$2700- ATTN PRO.1200sf FLAT Bright& Ready,$2700,   / 2br - 1200ft² -    ,4075715787,-122.4836,Sep 18 2013,SF,/sfc/apa/4075715787.html,37.7593
 (pacific heights),Art Deco Doorman Apartment  Building with Golden Gate Views ~ J.Wavro,$4700,   / 1br -    ,4074740396,-122.431634,Sep 17 2013,SF,/sfc/apa/4074740396.html,37.794684
 (lower pac hts),Spacious Junior One Bedroom with City Views ~ J.Wavro,$2800,   / 1br -    ,4074738515,-122.425047,Sep 17 2013,SF,/sfc/apa/4074738515.html,37.78713
 (SOMA / south beach),2/2 Bath Condo w/ Balcony in Doorman Bldg ~ J.Wavro,$5500,   / 2br -    ,4074736985,-122.389846,Sep 17 2013,SF,/sfc/apa/4074736985.html,37.783609
 (SOMA / south beach),Large 2bd/2ba in Bridgeview. Views of Bay-Bridge-City ,$4850,   / 2br - 1223ft² -    ,4042724348,-122.39118,Sep 17 2013,SF,/sfc/apa/4042724348.html,37.787455
 (marina / cow hollow),Luxury furnished Marina top floor flat. ~ J.Wavro,$7700,   / 2br -    ,4074735098,-122.434973,Sep 17 2013,SF,/sfc/apa/4074735098.html,37.802848
 (mission district),Bright Loft in the Mission,$3500,   / 1br - 815ft² -    ,4065421984,-122.409157,Sep 17 2013,SF,/sfc/apa/4065421984.html,37.761817
 (pacific heights), Bay View Top Floor Furnished Condo with Private Deck ~ J.Wavro,$12500,   / 2br -    ,4074733315,-122.43695,Sep 17 2013,SF,/sfc/apa/4074733315.html,37.795949
 (SOMA / south beach),Designer Warehouse Loft - Large 1 bed 1 bath ~ J.Wavro,$4500,   / 1br -    ,4074731308,-122.407871,Sep 17 2013,SF,/sfc/apa/4074731308.html,37.782751
 (SOMA / south beach),Soma Grand - Free Housekeeping every 2 weeks! City Skyline Views ~ J.W,$3995,   / 2br -    ,4074724144,-122.413158,Sep 17 2013,SF,/sfc/apa/4074724144.html,37.777457
 (nob hill),Nob Hill One bedroom with doorman and valet parking. Pet ok ~ J.Wavro,$3300,   / 1br -    ,4074722449,-122.41447,Sep 17 2013,SF,/sfc/apa/4074722449.html,37.793223
 (noe valley),Beautiful furnished home in Noe Valley. ~ J.Wavro,$7500,   / 3br -    ,4074720674,-122.433315,Sep 17 2013,SF,/sfc/apa/4074720674.html,37.742495
 (mission district),Just a few blocks from the heart of The Mission - FULLY-FURNISHED,$2600,   / 1br - 746ft² -    ,4033313840,-122.417487,Sep 18 2013,SF,/sfc/apa/4033313840.html,37.765183
 (SOMA / south beach),Tri-Level Loft - Amzing layout with parking!,$4900,   / 1br - 1505ft² -    ,4071295844,,Sep 18 2013,SF,/sfc/apa/4071295844.html,
 (SOMA / south beach),Deserve To Live Your Best At Channel Mission Bay!,$3249,   / 549ft² -    ,4076466331,-122.389948,Sep 18 2013,SF,/sfc/apa/4076466331.html,37.773954
 (laurel hts / presidio),"Modern. Built in 99'  2 bdr/2 bath, pkg included",$3200,   / 2br -    ,4076480721,-122.449,Sep 18 2013,SF,/sfc/apa/4076480721.html,37.781939
 (lower pac hts),Large Court Yard View Studio Oct. 18th ,$2942,   / 600ft² -    ,4076457950,-122.435632,Sep 18 2013,SF,/sfc/apa/4076457950.html,37.785012
 (SOMA / south beach),Time for a new apartment? Come see what 77 Bluxome has to offer!,$2190,      ,4076415427,,Sep 18 2013,SF,/sfc/apa/4076415427.html,
 (lower nob hill),Soar on top of SF in this Large 1 BR on the highest floor! Great Views,$3130,   / 1br - 730ft² -    ,4076404590,,Sep 18 2013,SF,/sfc/apa/4076404590.html,
 (lower nob hill),Beautifully Remodeled Studio w/ Granite Counters & Hardwood!,$1995,      ,4076449249,-122.414995,Sep 18 2013,SF,/sfc/apa/4076449249.html,37.787454
 (SOMA / south beach),1 Bedroom with hardwood floors!,$2990,   / 1br - 778ft² -    ,4076385313,-122.39305,Sep 18 2013,SF,/sfc/apa/4076385313.html,37.777138
 (pacific heights),Broadway Towers *AMSI* Call Scott,$6500,   / 2br - 1400ft² -    ,4076459593,,Sep 18 2013,SF,/sfc/apa/4076459593.html,
 (SOMA / south beach),Spacious Floorplan,$4222,   / 2br - 1095ft² -    ,4076455573,,Sep 18 2013,SF,/sfc/apa/4076455573.html,
 (richmond / seacliff),Central Richmond Dist Single Family Home ~ J.Wavro,$4750,   / 4br -    ,4075417101,-122.488471,Sep 18 2013,SF,/sfc/apa/4075417101.html,37.772374
 (ingleside / SFSU / CCSF),"4 Closets, Balcony, Parking, Pool and More",,  510ft² -    ,4048856834,-122.493398,Sep 18 2013,SF,/sfc/apa/4048856834.html,37.714652
 (western addition),Newly remodeled Apartment With Large Balcony! Avail. Now!,$2725,   / 1br - 699ft² -    ,4075415345,-122.432681,Sep 18 2013,SF,/sfc/apa/4075415345.html,37.78317
 (north beach / telegraph hill),Sunny One Bedroom Flat with City View,$2675,   / 1br -    ,4075414998,-122.405371,Sep 18 2013,SF,/sfc/apa/4075414998.html,37.79996
 (SOMA / south beach),Walking distance to everything!!!,$3075,   / 1br - 565ft² -    ,4075408412,,Sep 18 2013,SF,/sfc/apa/4075408412.html,
 (western addition),View! View! View! Renovated Penthouse with Balcony and Fireplace.,$2899,   / 1br - 660ft² -    ,4075406688,-122.432681,Sep 18 2013,SF,/sfc/apa/4075406688.html,37.78317
 (financial district),1 bedroom plus Den in Doorman Bldg,$3300,   / 1br -    ,4047152565,-122.398977,Sep 18 2013,SF,/sfc/apa/4047152565.html,37.786209
 (SOMA / south beach),1 bedroom plus Den in Doorman Bldg,$3300,   / 1br -    ,4021860715,-122.398977,Sep 18 2013,SF,/sfc/apa/4021860715.html,37.786209
 (russian hill),1 bedroom with great views - doorman building ~ J.Wavro,$4300,   / 1br -    ,4075402126,-122.415572,Sep 18 2013,SF,/sfc/apa/4075402126.html,37.79868
 (downtown / civic / van ness),"1 Bed, 1 Bath - Condo at Opera Plaza",$2800,   / 1br - 558ft² -    ,4075285410,,Sep 18 2013,SF,/sfc/apa/4075285410.html,
 (inner sunset / UCSF),Reserve this top-floor home with fireplace now before it's gone,$2815,   / 1br -    ,4074272324,-122.460157,Sep 17 2013,SF,/sfc/apa/4074272324.html,37.753738
 (899 Pine Street - Nob Hill)),Penthouse 2x2 ♦ 19th floor ♦ Bay View ♦,$7595,   / 2br -    ,4074266125,,Sep 17 2013,SF,/sfc/apa/4074266125.html,
 (SOMA / south beach),Parkside Setting!,$3249,   / 1br - 740ft² -    ,4074264820,-122.396669,Sep 17 2013,SF,/sfc/apa/4074264820.html,37.773167
 (downtown / civic / van ness),Comtemporary Furnished Studio,$1800,      ,4063182445,-122.413235,Sep 17 2013,SF,/sfc/apa/4063182445.html,37.787093
 (sunset / parkside),2 Bedroom Sunset Lower Unit (Open House 9/21 2-3pm),$2500,   / 2br - 810ft² -    ,4074252612,-122.491615,Sep 17 2013,SF,/sfc/apa/4074252612.html,37.740133
 (marina / cow hollow),Large Sunny Studio - Great Location,$2250,      ,4074245001,-122.436274,Sep 17 2013,SF,/sfc/apa/4074245001.html,37.800814
 (USF / panhandle),1 Bed 1 Bath with your own parking,$2300,   / 1br -    ,4074252286,-122.44062,Sep 17 2013,SF,/sfc/apa/4074252286.html,37.773674
 (north beach / telegraph hill),Light Filled/Remodeled Studio,$2350,   / 456ft² -    ,4074249278,-122.407057,Sep 17 2013,SF,/sfc/apa/4074249278.html,37.802617
 (mission district),"Resort-Style 1 BR + Pool, Rent Control near Dolores Park",$2250,   / 1br - 650ft² -    ,4074244762,,Sep 17 2013,SF,/sfc/apa/4074244762.html,
 (sunset / parkside),$1500  Studio  available,$1500,      ,4074133552,-122.4836,Sep 17 2013,SF,/sfc/apa/4074133552.html,37.7593
 (nob hill),HURRY!!!Renovated studio STEPS from all Downtown!Your new home,$1995,      ,4074090462,,Sep 17 2013,SF,/sfc/apa/4074090462.html,
 (downtown / civic / van ness),Charming Studio,$1050,      ,4076148640,-122.415869,Sep 18 2013,SF,/sfc/apa/4076148640.html,37.782875
 (pacific heights),Junior 1 Bedroom with Hardwood,$2200,   / 1br -    ,4071453887,-122.43376,Sep 18 2013,SF,/sfc/apa/4071453887.html,37.793472
 (inner sunset / UCSF),Avalon Sunset Towers Luxurious Living & Close To Shopping and Dining,$2720,   / 1br - 665ft² -    ,4076149983,-122.462864,Sep 18 2013,SF,/sfc/apa/4076149983.html,37.75954
 (castro / upper market),Designer 3 bedroom Home w/ Views ~ J.Wavro,$9800,   / 3br -    ,4076142848,-122.438112,Sep 18 2013,SF,/sfc/apa/4076142848.html,37.759093
 (financial district),Millennium Residence - 1 bed 1 bath ~ J.Wavro,$3950,   / 1br -    ,4076138644,-122.395813,Sep 18 2013,SF,/sfc/apa/4076138644.html,37.791153
 (inner sunset / UCSF),Rentals In SF / Mid-century modern home with panoramic ocean views!,$3495,   / 2br - 1100ft² -    ,4061194018,-122.468481,Sep 18 2013,SF,/sfc/apa/4061194018.html,37.748946
 (castro / upper market),Rentals In SF / Junior one bedroom APT in great area! PICS,$2395,   / 1br -    ,4071656400,-122.439074,Sep 18 2013,SF,/sfc/apa/4071656400.html,37.757855
 (inner sunset / UCSF),Spacious 1 bedroom (walking paradise),$1800,   / 1br -    ,4063302343,-122.471668,Sep 18 2013,SF,/sfc/apa/4063302343.html,37.763802
 (alamo square / nopa),Spacious 4BR/4BA Furnished Condo for Rent - 2800 sq ft,$7950,   / 4br - 2800ft² -    ,4076117035,,Sep 18 2013,SF,/sfc/apa/4076117035.html,
 (cole valley / ashbury hts),Rentals In SF / Top floor Edwardian apartment - hardwood floors! PICS,$3495,   / 2br -    ,4061224609,-122.449958,Sep 18 2013,SF,/sfc/apa/4061224609.html,37.7658
 (inner richmond),2+BR Upper Unit Flat (California St & 5th Ave) - Close to CPMC & USF,$3500,   / 2br - 1300ft² -    ,4076121202,-122.446793,Sep 18 2013,SF,/sfc/apa/4076121202.html,37.787262
 (richmond / seacliff),Beautiful large scaled view home in Sea Cliff ~ J.Wavro,$14500,   / 5br -    ,4075659019,-122.490561,Sep 18 2013,SF,/sfc/apa/4075659019.html,37.786283
 (marina / cow hollow),Spacious Top Floor Studio with Hardwood Floors & Huge Walk-in Closet ,$2400,      ,4060520351,,Sep 18 2013,SF,/sfc/apa/4060520351.html,
 (ingleside / SFSU / CCSF),Hurry Before It's Gone- Studio With Parking And More!,,  510ft² -    ,4075653212,-122.493398,Sep 18 2013,SF,/sfc/apa/4075653212.html,37.714652
 (haight ashbury),Steele Properties Presents: Beautiful Edwardian 4 BD at Haight/Ashbury,$5950,   / 4br - 1700ft² -    ,4060408468,-122.447027,Sep 18 2013,SF,/sfc/apa/4060408468.html,37.770462
 (SOMA / south beach),Soma Grand Luxury Condo w/ City Views and dedicated parking ~ J.Wavro,$3000,   / 1br -    ,4075652858,-122.413158,Sep 18 2013,SF,/sfc/apa/4075652858.html,37.777457
 (laurel hts / presidio),"Spacious Modern Condo w/ Hardwood Floors, Parking, & Storage",$3900,   / 2br -    ,4060522317,,Sep 18 2013,SF,/sfc/apa/4060522317.html,
 (marina / cow hollow),"Charming Studio, Walk to Every Thing! Laundry, Remodeled-FOUNDATION",$2695,   / 1br -    ,4075630003,,Sep 18 2013,SF,/sfc/apa/4075630003.html,
 (inner sunset / UCSF),in-law Apt for rent in Sunset District ,$1800,   / 1br -    ,4058500507,-122.478744,Sep 18 2013,SF,/sfc/apa/4058500507.html,37.756014
 (laurel hts / presidio),Laurel Heights VIEWS w 2 car prk ~ J.Wavro,$2975,   / 1br -    ,4075644865,-122.449209,Sep 18 2013,SF,/sfc/apa/4075644865.html,37.784196
 (downtown / civic / van ness),Immaculate full service amenities w parking ~ J.Wavro,$2950,   / 1br -    ,4075639888,-122.424538,Sep 18 2013,SF,/sfc/apa/4075639888.html,37.801304
 (potrero hill),"Beautiful Top Floor 2bed/2bath w/ Views, Den, Balcony and Parking!!",$5385,   / 2br - 1465ft² -    ,4075529835,,Sep 18 2013,SF,/sfc/apa/4075529835.html,
 (SOMA / south beach),Hawthorne Penthouse - Full Service - ReLISTO ,$9500,   / 3br - 1975ft² -    ,4035704095,,Sep 18 2013,SF,/sfc/apa/4035704095.html,
 (SOMA / south beach),Open House Saturday 9/21-2PM -Bright Huge Loft - ReLISTO,$3695,   / 1br - 1000ft² -    ,4047115731,,Sep 18 2013,SF,/sfc/apa/4047115731.html,
 (SOMA / south beach),BRAND NEW - PENTHOUSE - AVAILABLE NOW - ReLISTO,$9500,   / 3br - 1975ft² -    ,4046795544,,Sep 18 2013,SF,/sfc/apa/4046795544.html,
 (SOMA / south beach),Open House 9/21 -Bright Urban Live/Work Now Available! - ReLISTO ,$3695,   / 1br - 1000ft² -    ,4072023556,-122.401518,Sep 18 2013,SF,/sfc/apa/4072023556.html,37.774385
 (inner sunset / UCSF),Ocean View Home 2 decks! 3br + family room Close to UCSF and Mt. Sutro,$4995,   / 3br -    ,4076752227,-122.459616,Sep 18 2013,SF,/sfc/apa/4076752227.html,37.756145
 (richmond / seacliff),Edwardian Deco Building LakeDist.Top Unit,$2850,   / 2br -    ,4076756205,-122.478618,Sep 18 2013,SF,/sfc/apa/4076756205.html,37.784705
 (haight ashbury),San Francisco beautiful condo,$2950,   / 1br - 900ft² -    ,4076740690,-122.446774,Sep 18 2013,SF,/sfc/apa/4076740690.html,37.77731
 (USF / panhandle),Remodeled 2 Bedroom in Great Location - Walk to USF!,$2750,   / 1br -    ,4071232858,-122.453003,Sep 18 2013,SF,/sfc/apa/4071232858.html,37.774971
 (downtown / civic / van ness),You Get What You Pay For!!!,$2370,      ,4075809397,-122.417402,Sep 18 2013,SF,/sfc/apa/4075809397.html,37.776619
 (inner richmond),UPDATED Inner Richmond 2BR/1BA Apartment GG Park 8th & Fulton St AVAILABLE N,$2495,   / 2br - 925ft² -    ,4075722058,,Sep 18 2013,SF,/sfc/apa/4075722058.html,
 (SOMA / south beach),Spacious 2BR--Perfect for Roommates--Move in: 11/7,$4420,   / 2br - 1164ft² -    ,4075694435,,Sep 18 2013,SF,/sfc/apa/4075694435.html,
 (mission district),"Wonderfully remodeled 1 bedroom, 1 bath in the Mission!",$2795,   / 1br -    ,4063568576,-122.411539,Sep 18 2013,SF,/sfc/apa/4063568576.html,37.75866
 (downtown / civic / van ness),Bright Corner Unit Studio in Nob Hill!,$1950,      ,4026802026,-122.411942,Sep 18 2013,SF,/sfc/apa/4026802026.html,37.789757
 (haight ashbury),"Wonderfully 1 bedroom, 1 bath in Haight-Ashbury!",$2895,   / 1br -    ,4029676067,-122.446289,Sep 18 2013,SF,/sfc/apa/4029676067.html,37.76723
 (haight ashbury),Beautifully updated and bright apartment ,$2650,   / 1br -    ,4026763324,-122.448475,Sep 18 2013,SF,/sfc/apa/4026763324.html,37.769284
 (SOMA / south beach),Flat off of 9th and Mission w/ Parking Available,$2500,   / 1br - 800ft² -    ,4036092405,-122.414711,Sep 18 2013,SF,/sfc/apa/4036092405.html,37.776231
 (richmond / seacliff),Elegant and Immaculate 4bd single family home  ~ J.Wavro,$10995,   / 4br -    ,4074718526,-122.488059,Sep 17 2013,SF,/sfc/apa/4074718526.html,37.788682
 (nob hill),CEO-Style Pied-a-terre w/views + Concierge-$1000 move in.,$3600,   / 1br - 675ft² -    ,4074703509,,Sep 17 2013,SF,/sfc/apa/4074703509.html,
 (SOMA / south beach),Modern Corner 2/2 with Panoramic City Views ~ J.Wavro,$7500,   / 2br -    ,4074715626,-122.39275,Sep 17 2013,SF,/sfc/apa/4074715626.html,37.778852
