STNAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
New Jersey,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8801624,8841243,8873211,8899162,8925001,8935421,8944469
New Mexico,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2065932,2077756,2083784,2085193,2083024,2080328,2081015
New York,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19392283,19519529,19602769,19673546,19718515,19747183,19745289
North Carolina,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9561558,9650963,9746175,9841590,9934399,10035186,10146788
North Dakota,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674499,685476,702087,724019,739904,756835,757952
Ohio,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11536182,11544824,11550839,11570022,11594408,11605090,11614373
Oklahoma,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3761702,3786274,3817054,3852415,3877499,3907414,3923561
Oregon,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3838957,3868031,3899116,3925751,3968371,4024634,4093465
Pennsylvania,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12709630,12744293,12771854,12781338,12790565,12791904,12784227
Rhode Island,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1052886,1052451,1052901,1053033,1054480,1055607,1056426
South Carolina,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4636312,4672637,4720760,4767894,4828430,4894834,4961119
South Dakota,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816463,824398,834441,844922,852561,857919,865454
Tennessee,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356897,6397634,6454306,6494821,6544663,6595056,6651194
Texas,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25257114,25646389,26071655,26473525,26944751,27429639,27862596
Utah,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776469,2816124,2855782,2902663,2941836,2990632,3051217
Vermont,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625960,626730,626444,627140,626984,626088,624594
Virginia,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8024617,8110035,8192048,8262692,8317372,8367587,8411808
Washington,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6744496,6822520,6895226,6968006,7054196,7160290,7288000
West Virginia,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1853973,1854972,1856560,1853231,1848514,1841053,1831102
Wisconsin,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691047,5709640,5726177,5742854,5758377,5767891,5778708
Wyoming,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564460,567725,576765,582684,583642,586555,585501
